Order ID,Order Date,Customer Name,City,State,Sales Rep,Region,Box Type,Unit Price,Quantity,Extended Price,Payment Terms,Order Status
100001,07/23/2025,Timberline Wholesale Inc,Boise,ID,Nicole Fenwick,Northeast,Medium Box,$8.00,"1,075","$8,600.00",Net 45,Invoiced
100002,05/13/2026,Blue Ridge Logistics,Charlotte,NC,David Kim,West,Large Box,$12.00,"1,725","$20,700.00",Net 30,Invoiced
100003,11/26/2025,Frontier Consumer Supply,Albuquerque,NM,Tom Sullivan,Northeast,Medium Box,$8.00,"1,275","$10,200.00",Net 30,Invoiced
100004,09/22/2025,Ironwood Distribution Inc,Indianapolis,IN,Tom Sullivan,Midwest,Small Box,$6.00,"1,950","$11,700.00",Net 45,Shipped
100005,05/22/2026,Midwest Supply Chain Inc,Chicago,IL,Tom Sullivan,Southeast,Medium Box,$8.00,"1,400","$11,200.00",Net 30,Processing
100006,06/18/2026,Silverline Consumer Brands,Denver,CO,David Kim,Northeast,Large Box,$12.00,"1,850","$22,200.00",Net 30,Delivered
100007,11/15/2025,Pinnacle Distribution Corp,Atlanta,GA,Brian Castillo,Midwest,Large Box,$12.00,"1,675","$20,100.00",Net 30,Pending
100008,05/26/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Angela Brooks,Southeast,Large Box,$12.00,"1,750","$21,000.00",Net 45,Delivered
100009,04/26/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Brian Castillo,Southwest,Medium Box,$8.00,"1,225","$9,800.00",Due on Receipt,Shipped
100010,03/10/2026,Union Pacific Warehousing,Omaha,NE,Karen Whitfield,Northeast,Large Box,$12.00,"1,650","$19,800.00",Net 30,Invoiced
100011,05/02/2026,Pinnacle Distribution Corp,Atlanta,GA,Rachel Ortiz,West,Medium Box,$8.00,"1,550","$12,400.00",Net 30,Invoiced
100012,07/06/2025,Crescent Manufacturing Group,New Orleans,LA,Marcus Doyle,West,Medium Box,$8.00,"1,775","$14,200.00",Net 45,Shipped
100013,02/08/2026,Midwest Supply Chain Inc,Chicago,IL,Karen Whitfield,Midwest,Small Box,$6.00,"1,775","$10,650.00",Net 30,Processing
100014,05/17/2026,Horizon Consumer Goods,Phoenix,AZ,Nicole Fenwick,West,Large Box,$12.00,"1,150","$13,800.00",Net 30,Shipped
100015,03/29/2026,Highland Retail Partners,Salt Lake City,UT,Brian Castillo,Midwest,Medium Box,$8.00,"1,025","$8,200.00",Net 30,Delivered
100016,12/05/2025,Summit Manufacturing LLC,Pittsburgh,PA,Tom Sullivan,West,Large Box,$12.00,"1,075","$12,900.00",Net 45,Invoiced
100017,03/30/2026,Sunbelt Distribution LLC,Tampa,FL,Priya Natarajan,Southwest,Small Box,$6.00,"1,175","$7,050.00",Net 30,Pending
100018,02/02/2026,Frontier Consumer Supply,Albuquerque,NM,Nicole Fenwick,Southeast,Small Box,$6.00,"1,325","$7,950.00",Net 30,Invoiced
100019,01/08/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Nicole Fenwick,Southwest,Large Box,$12.00,"1,250","$15,000.00",Net 30,Delivered
100020,04/28/2026,Silverline Consumer Brands,Denver,CO,Brian Castillo,Southeast,Large Box,$12.00,"1,075","$12,900.00",Net 45,Shipped
100021,08/04/2025,Highland Retail Partners,Salt Lake City,UT,David Kim,Northeast,Small Box,$6.00,"1,250","$7,500.00",Net 30,Delivered
100022,04/03/2026,Coastal Retail Holdings,Charleston,SC,Brian Castillo,West,Medium Box,$8.00,"1,250","$10,000.00",Net 60,Invoiced
100023,10/06/2025,Union Pacific Warehousing,Omaha,NE,Rachel Ortiz,Midwest,Medium Box,$8.00,"1,425","$11,400.00",Net 30,Invoiced
100024,06/10/2026,Crescent Manufacturing Group,New Orleans,LA,Marcus Doyle,Northeast,Medium Box,$8.00,"1,750","$14,000.00",Net 30,Pending
100025,11/05/2025,Midwest Supply Chain Inc,Chicago,IL,Nicole Fenwick,Southwest,Large Box,$12.00,"1,425","$17,100.00",Net 30,Delivered
100026,08/08/2025,Lakeshore Packaging Solutions,Milwaukee,WI,Nicole Fenwick,Northeast,Large Box,$12.00,"1,675","$20,100.00",Due on Receipt,Invoiced
100027,08/17/2025,Highland Retail Partners,Salt Lake City,UT,Tom Sullivan,Southeast,Medium Box,$8.00,"1,500","$12,000.00",Net 30,Pending
100028,07/31/2025,Midwest Supply Chain Inc,Chicago,IL,Karen Whitfield,Southwest,Medium Box,$8.00,"1,950","$15,600.00",Net 60,Delivered
100029,02/02/2026,Timberline Wholesale Inc,Boise,ID,Nicole Fenwick,Southwest,Large Box,$12.00,"1,200","$14,400.00",Net 30,Processing
100030,04/23/2026,Granite State Packaging,Manchester,NH,Karen Whitfield,Midwest,Large Box,$12.00,"1,050","$12,600.00",Net 45,Delivered
100031,03/29/2026,Midwest Supply Chain Inc,Chicago,IL,Nicole Fenwick,Northeast,Large Box,$12.00,"1,075","$12,900.00",Net 45,Invoiced
100032,10/29/2025,Redwood Retail Group,Sacramento,CA,Brian Castillo,Southeast,Small Box,$6.00,"1,600","$9,600.00",Net 30,Shipped
100033,06/02/2026,Heartland Shipping Co,Des Moines,IA,Nicole Fenwick,Midwest,Medium Box,$8.00,"1,200","$9,600.00",Net 45,Delivered
100034,11/13/2025,Bluegrass Wholesale Co,Louisville,KY,Angela Brooks,Southwest,Medium Box,$8.00,"1,950","$15,600.00",Net 60,Shipped
100035,02/20/2026,Vanguard Retail Supply,Minneapolis,MN,Brian Castillo,Northeast,Large Box,$12.00,"1,550","$18,600.00",Net 30,Delivered
100036,12/26/2025,Blue Ridge Logistics,Charlotte,NC,Tom Sullivan,Midwest,Medium Box,$8.00,"1,150","$9,200.00",Net 30,Delivered
100037,12/02/2025,Heartland Shipping Co,Des Moines,IA,Nicole Fenwick,Northeast,Small Box,$6.00,"1,825","$10,950.00",Net 45,Processing
100038,08/23/2025,Highland Retail Partners,Salt Lake City,UT,Priya Natarajan,Midwest,Large Box,$12.00,"1,900","$22,800.00",Net 30,Invoiced
100039,11/17/2025,Horizon Consumer Goods,Phoenix,AZ,Tom Sullivan,Midwest,Large Box,$12.00,"1,700","$20,400.00",Net 45,Delivered
100040,03/08/2026,Summit Manufacturing LLC,Pittsburgh,PA,Karen Whitfield,Northeast,Small Box,$6.00,"1,425","$8,550.00",Net 60,Shipped
100041,12/18/2025,Sunbelt Distribution LLC,Tampa,FL,Angela Brooks,Southeast,Small Box,$6.00,"1,450","$8,700.00",Net 45,Delivered
100042,07/05/2025,Coastal Retail Holdings,Charleston,SC,Priya Natarajan,West,Large Box,$12.00,"1,850","$22,200.00",Net 30,Invoiced
100043,02/06/2026,Coastal Retail Holdings,Charleston,SC,Angela Brooks,Midwest,Large Box,$12.00,"1,925","$23,100.00",Net 30,Invoiced
100044,06/07/2026,Union Pacific Warehousing,Omaha,NE,Nicole Fenwick,Southwest,Small Box,$6.00,"1,775","$10,650.00",Net 30,Processing
100045,09/22/2025,Frontier Consumer Supply,Albuquerque,NM,Priya Natarajan,Southwest,Large Box,$12.00,"1,175","$14,100.00",Net 45,Delivered
100046,01/27/2026,Metro Fulfillment Services,Newark,NJ,Tom Sullivan,Midwest,Large Box,$12.00,"1,800","$21,600.00",Net 45,Delivered
100047,07/20/2025,Cornerstone Supply Co,Richmond,VA,Tom Sullivan,Southeast,Medium Box,$8.00,"1,350","$10,800.00",Net 30,Invoiced
100048,10/25/2025,Summit Manufacturing LLC,Pittsburgh,PA,Tom Sullivan,Southwest,Medium Box,$8.00,"1,275","$10,200.00",Net 60,Processing
100049,11/20/2025,Ironwood Distribution Inc,Indianapolis,IN,Nicole Fenwick,Southwest,Small Box,$6.00,"1,875","$11,250.00",Net 45,Processing
100050,08/29/2025,Blue Ridge Logistics,Charlotte,NC,Angela Brooks,Southeast,Small Box,$6.00,"1,975","$11,850.00",Due on Receipt,Shipped
100051,05/02/2026,Lakeshore Packaging Solutions,Milwaukee,WI,David Kim,Southwest,Small Box,$6.00,"1,525","$9,150.00",Net 30,Pending
100052,10/06/2025,Summit Manufacturing LLC,Pittsburgh,PA,Rachel Ortiz,Northeast,Small Box,$6.00,"1,950","$11,700.00",Net 60,Invoiced
100053,06/09/2026,Midwest Supply Chain Inc,Chicago,IL,Rachel Ortiz,Northeast,Small Box,$6.00,"1,950","$11,700.00",Net 30,Delivered
100054,09/02/2025,Timberline Wholesale Inc,Boise,ID,Angela Brooks,West,Medium Box,$8.00,"1,675","$13,400.00",Net 30,Delivered
100055,11/29/2025,Silverline Consumer Brands,Denver,CO,Tom Sullivan,Southwest,Small Box,$6.00,"1,950","$11,700.00",Net 30,Invoiced
100056,09/28/2025,Heartland Shipping Co,Des Moines,IA,Angela Brooks,Southwest,Small Box,$6.00,"1,850","$11,100.00",Net 30,Delivered
100057,02/06/2026,Metro Fulfillment Services,Newark,NJ,Brian Castillo,Midwest,Medium Box,$8.00,"1,450","$11,600.00",Net 30,Delivered
100058,02/28/2026,Metro Fulfillment Services,Newark,NJ,Priya Natarajan,Northeast,Medium Box,$8.00,"1,525","$12,200.00",Net 45,Invoiced
100059,08/17/2025,Metro Fulfillment Services,Newark,NJ,Tom Sullivan,Midwest,Large Box,$12.00,"1,825","$21,900.00",Net 30,Shipped
100060,11/03/2025,Frontier Consumer Supply,Albuquerque,NM,Brian Castillo,Northeast,Medium Box,$8.00,"1,425","$11,400.00",Net 60,Invoiced
100061,06/22/2026,Bluegrass Wholesale Co,Louisville,KY,Rachel Ortiz,Southeast,Large Box,$12.00,"1,675","$20,100.00",Net 45,Pending
100062,08/24/2025,Sunbelt Distribution LLC,Tampa,FL,Tom Sullivan,Southeast,Small Box,$6.00,"1,525","$9,150.00",Net 30,Invoiced
100063,09/01/2025,Lakeshore Packaging Solutions,Milwaukee,WI,James Peterson,West,Small Box,$6.00,"1,600","$9,600.00",Net 30,Invoiced
100064,02/12/2026,Heartland Shipping Co,Des Moines,IA,Nicole Fenwick,Southwest,Small Box,$6.00,"1,450","$8,700.00",Net 60,Invoiced
100065,03/01/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Tom Sullivan,Midwest,Small Box,$6.00,"1,500","$9,000.00",Net 45,Delivered
100066,08/09/2025,Timberline Wholesale Inc,Boise,ID,Tom Sullivan,Midwest,Medium Box,$8.00,"1,325","$10,600.00",Net 60,Shipped
100067,09/16/2025,Summit Manufacturing LLC,Pittsburgh,PA,Priya Natarajan,Southeast,Large Box,$12.00,"1,425","$17,100.00",Net 30,Delivered
100068,01/29/2026,Pinnacle Distribution Corp,Atlanta,GA,Rachel Ortiz,Southwest,Small Box,$6.00,"1,975","$11,850.00",Net 45,Pending
100069,04/21/2026,Ironwood Distribution Inc,Indianapolis,IN,Karen Whitfield,Midwest,Medium Box,$8.00,"1,775","$14,200.00",Net 30,Pending
100070,01/31/2026,Silverline Consumer Brands,Denver,CO,Nicole Fenwick,West,Large Box,$12.00,"1,500","$18,000.00",Net 30,Delivered
100071,07/15/2025,Bluegrass Wholesale Co,Louisville,KY,Rachel Ortiz,Southeast,Medium Box,$8.00,"1,950","$15,600.00",Net 30,Invoiced
100072,07/14/2025,Highland Retail Partners,Salt Lake City,UT,Brian Castillo,West,Small Box,$6.00,"1,025","$6,150.00",Net 30,Delivered
100073,02/22/2026,Midwest Supply Chain Inc,Chicago,IL,Angela Brooks,Southwest,Medium Box,$8.00,"1,225","$9,800.00",Net 30,Delivered
100074,01/11/2026,Horizon Consumer Goods,Phoenix,AZ,Rachel Ortiz,Midwest,Large Box,$12.00,"1,475","$17,700.00",Net 30,Delivered
100075,12/27/2025,Summit Manufacturing LLC,Pittsburgh,PA,Marcus Doyle,Northeast,Large Box,$12.00,"1,975","$23,700.00",Net 30,Invoiced
100076,05/15/2026,Coastal Retail Holdings,Charleston,SC,Priya Natarajan,Southwest,Small Box,$6.00,"1,125","$6,750.00",Net 45,Delivered
100077,06/24/2026,Summit Manufacturing LLC,Pittsburgh,PA,David Kim,Southeast,Small Box,$6.00,"1,625","$9,750.00",Due on Receipt,Invoiced
100078,09/22/2025,Frontier Consumer Supply,Albuquerque,NM,Marcus Doyle,West,Large Box,$12.00,"1,950","$23,400.00",Net 30,Invoiced
100079,01/09/2026,Redwood Retail Group,Sacramento,CA,Tom Sullivan,Northeast,Small Box,$6.00,"1,700","$10,200.00",Net 60,Delivered
100080,06/22/2026,Sunbelt Distribution LLC,Tampa,FL,Brian Castillo,Northeast,Small Box,$6.00,"1,800","$10,800.00",Net 30,Delivered
100081,06/04/2026,Ironwood Distribution Inc,Indianapolis,IN,Nicole Fenwick,Midwest,Large Box,$12.00,"1,875","$22,500.00",Net 30,Delivered
100082,02/07/2026,Frontier Consumer Supply,Albuquerque,NM,James Peterson,Southeast,Medium Box,$8.00,"1,175","$9,400.00",Net 45,Processing
100083,11/16/2025,Heartland Shipping Co,Des Moines,IA,Nicole Fenwick,Southwest,Medium Box,$8.00,"1,450","$11,600.00",Net 60,Invoiced
100084,12/13/2025,Cornerstone Supply Co,Richmond,VA,Marcus Doyle,Midwest,Medium Box,$8.00,"1,250","$10,000.00",Net 60,Invoiced
100085,06/08/2026,Ironwood Distribution Inc,Indianapolis,IN,Karen Whitfield,Southwest,Medium Box,$8.00,"1,175","$9,400.00",Net 30,Delivered
100086,11/10/2025,Cascade Industrial Supply,Portland,OR,Brian Castillo,Midwest,Small Box,$6.00,"1,000","$6,000.00",Net 45,Shipped
100087,11/01/2025,Timberline Wholesale Inc,Boise,ID,James Peterson,West,Large Box,$12.00,"1,700","$20,400.00",Net 30,Invoiced
100088,02/15/2026,Metro Fulfillment Services,Newark,NJ,Marcus Doyle,Midwest,Large Box,$12.00,"1,425","$17,100.00",Net 45,Delivered
100089,04/24/2026,Ironwood Distribution Inc,Indianapolis,IN,Nicole Fenwick,West,Medium Box,$8.00,"1,425","$11,400.00",Due on Receipt,Invoiced
100090,12/28/2025,Timberline Wholesale Inc,Boise,ID,Angela Brooks,Midwest,Medium Box,$8.00,"1,225","$9,800.00",Net 30,Shipped
100091,08/31/2025,Granite State Packaging,Manchester,NH,Priya Natarajan,Southeast,Large Box,$12.00,"1,750","$21,000.00",Net 30,Invoiced
100092,03/26/2026,Heartland Shipping Co,Des Moines,IA,Marcus Doyle,Southeast,Medium Box,$8.00,"1,225","$9,800.00",Net 30,Delivered
100093,06/28/2026,Silverline Consumer Brands,Denver,CO,Angela Brooks,Northeast,Large Box,$12.00,"1,575","$18,900.00",Net 30,Processing
100094,05/23/2026,Cornerstone Supply Co,Richmond,VA,James Peterson,Northeast,Large Box,$12.00,"1,575","$18,900.00",Net 30,Delivered
100095,12/22/2025,Midwest Supply Chain Inc,Chicago,IL,Karen Whitfield,Midwest,Medium Box,$8.00,"1,125","$9,000.00",Net 60,Delivered
100096,08/07/2025,Heartland Shipping Co,Des Moines,IA,Karen Whitfield,Southeast,Large Box,$12.00,"1,825","$21,900.00",Net 45,Delivered
100097,11/05/2025,Coastal Retail Holdings,Charleston,SC,Rachel Ortiz,West,Small Box,$6.00,"1,800","$10,800.00",Net 45,Invoiced
100098,01/11/2026,Lakeshore Packaging Solutions,Milwaukee,WI,James Peterson,Midwest,Small Box,$6.00,"1,450","$8,700.00",Net 30,Invoiced
100099,05/09/2026,Frontier Consumer Supply,Albuquerque,NM,Marcus Doyle,Southeast,Small Box,$6.00,"1,225","$7,350.00",Net 30,Shipped
100100,10/31/2025,Midwest Supply Chain Inc,Chicago,IL,Marcus Doyle,Southeast,Large Box,$12.00,"1,425","$17,100.00",Net 30,Invoiced
100101,11/27/2025,Meridian Logistics Group,Columbus,OH,Angela Brooks,Midwest,Small Box,$6.00,"1,875","$11,250.00",Net 30,Invoiced
100102,11/13/2025,Metro Fulfillment Services,Newark,NJ,Brian Castillo,Southeast,Medium Box,$8.00,"1,125","$9,000.00",Net 45,Invoiced
100103,11/14/2025,Metro Fulfillment Services,Newark,NJ,Marcus Doyle,Northeast,Large Box,$12.00,"1,800","$21,600.00",Net 30,Invoiced
100104,04/18/2026,Highland Retail Partners,Salt Lake City,UT,James Peterson,Northeast,Medium Box,$8.00,"1,700","$13,600.00",Net 30,Delivered
100105,11/17/2025,Prairie State Logistics,Kansas City,MO,James Peterson,Southwest,Large Box,$12.00,"1,600","$19,200.00",Net 30,Delivered
100106,12/13/2025,Heartland Shipping Co,Des Moines,IA,Karen Whitfield,Northeast,Large Box,$12.00,"1,975","$23,700.00",Net 45,Pending
100107,04/27/2026,Highland Retail Partners,Salt Lake City,UT,Angela Brooks,West,Large Box,$12.00,"1,775","$21,300.00",Net 60,Delivered
100108,05/30/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Angela Brooks,Southeast,Small Box,$6.00,"1,450","$8,700.00",Net 45,Delivered
100109,08/16/2025,Prairie State Logistics,Kansas City,MO,Rachel Ortiz,Midwest,Medium Box,$8.00,"1,675","$13,400.00",Net 30,Shipped
100110,01/27/2026,Timberline Wholesale Inc,Boise,ID,Angela Brooks,Southwest,Small Box,$6.00,"1,025","$6,150.00",Net 30,Delivered
100111,12/13/2025,Coastal Retail Holdings,Charleston,SC,Rachel Ortiz,West,Large Box,$12.00,"1,675","$20,100.00",Net 60,Delivered
100112,07/28/2025,Midwest Supply Chain Inc,Chicago,IL,David Kim,West,Medium Box,$8.00,"1,650","$13,200.00",Net 30,Shipped
100113,11/14/2025,Silverline Consumer Brands,Denver,CO,Angela Brooks,Southwest,Small Box,$6.00,"1,500","$9,000.00",Net 30,Processing
100114,05/08/2026,Metro Fulfillment Services,Newark,NJ,Priya Natarajan,Midwest,Small Box,$6.00,"1,025","$6,150.00",Net 45,Shipped
100115,08/28/2025,Lakeshore Packaging Solutions,Milwaukee,WI,Marcus Doyle,Southeast,Medium Box,$8.00,"1,950","$15,600.00",Net 45,Delivered
100116,11/17/2025,Redwood Retail Group,Sacramento,CA,James Peterson,Southwest,Large Box,$12.00,"1,475","$17,700.00",Net 45,Delivered
100117,05/03/2026,Atlantic Coast Distributors,Norfolk,VA,Priya Natarajan,Northeast,Medium Box,$8.00,"1,800","$14,400.00",Net 60,Delivered
100118,03/17/2026,Great Lakes Packaging Co,Cleveland,OH,Karen Whitfield,Midwest,Small Box,$6.00,"1,300","$7,800.00",Net 60,Invoiced
100119,06/03/2026,Prairie State Logistics,Kansas City,MO,Priya Natarajan,Southwest,Small Box,$6.00,"1,500","$9,000.00",Net 30,Invoiced
100120,04/05/2026,Ironwood Distribution Inc,Indianapolis,IN,David Kim,Southeast,Small Box,$6.00,"1,250","$7,500.00",Net 45,Delivered
100121,01/27/2026,Meridian Logistics Group,Columbus,OH,James Peterson,Southwest,Medium Box,$8.00,"1,675","$13,400.00",Net 60,Invoiced
100122,09/16/2025,Prairie State Logistics,Kansas City,MO,Karen Whitfield,Southeast,Small Box,$6.00,"2,000","$12,000.00",Net 45,Pending
100123,02/11/2026,Union Pacific Warehousing,Omaha,NE,James Peterson,Northeast,Small Box,$6.00,"1,150","$6,900.00",Net 30,Invoiced
100124,09/18/2025,Pinnacle Distribution Corp,Atlanta,GA,Angela Brooks,Midwest,Small Box,$6.00,"1,700","$10,200.00",Net 30,Shipped
100125,12/16/2025,Cornerstone Supply Co,Richmond,VA,Nicole Fenwick,Southwest,Medium Box,$8.00,"1,650","$13,200.00",Net 45,Invoiced
100126,04/04/2026,Meridian Logistics Group,Columbus,OH,Marcus Doyle,Southeast,Small Box,$6.00,"1,700","$10,200.00",Due on Receipt,Processing
100127,08/16/2025,Lakeshore Packaging Solutions,Milwaukee,WI,Marcus Doyle,Northeast,Medium Box,$8.00,"1,175","$9,400.00",Net 45,Processing
100128,07/24/2025,Cascade Industrial Supply,Portland,OR,Karen Whitfield,Midwest,Medium Box,$8.00,"1,375","$11,000.00",Net 30,Delivered
100129,01/27/2026,Silverline Consumer Brands,Denver,CO,Priya Natarajan,Southeast,Large Box,$12.00,"1,075","$12,900.00",Net 45,Delivered
100130,06/15/2026,Summit Manufacturing LLC,Pittsburgh,PA,Brian Castillo,Southeast,Large Box,$12.00,"1,475","$17,700.00",Net 45,Delivered
100131,06/07/2026,Meridian Logistics Group,Columbus,OH,James Peterson,Midwest,Small Box,$6.00,"1,550","$9,300.00",Net 30,Delivered
100132,12/24/2025,Frontier Consumer Supply,Albuquerque,NM,Angela Brooks,Southwest,Small Box,$6.00,"1,250","$7,500.00",Net 30,Delivered
100133,01/13/2026,Cornerstone Supply Co,Richmond,VA,Marcus Doyle,Southeast,Medium Box,$8.00,"1,575","$12,600.00",Net 30,Delivered
100134,06/24/2026,Horizon Consumer Goods,Phoenix,AZ,Rachel Ortiz,Midwest,Large Box,$12.00,"1,575","$18,900.00",Net 60,Invoiced
100135,07/26/2025,Highland Retail Partners,Salt Lake City,UT,James Peterson,Midwest,Large Box,$12.00,"1,625","$19,500.00",Net 60,Delivered
100136,10/06/2025,Vanguard Retail Supply,Minneapolis,MN,Priya Natarajan,Northeast,Small Box,$6.00,"1,650","$9,900.00",Net 30,Invoiced
100137,07/18/2025,Heartland Shipping Co,Des Moines,IA,Priya Natarajan,Northeast,Medium Box,$8.00,"1,325","$10,600.00",Net 45,Shipped
100138,09/06/2025,Metro Fulfillment Services,Newark,NJ,David Kim,West,Small Box,$6.00,"1,925","$11,550.00",Net 30,Shipped
100139,03/04/2026,Frontier Consumer Supply,Albuquerque,NM,Angela Brooks,Midwest,Large Box,$12.00,"1,475","$17,700.00",Due on Receipt,Shipped
100140,10/24/2025,Cornerstone Supply Co,Richmond,VA,Rachel Ortiz,West,Medium Box,$8.00,"1,100","$8,800.00",Net 60,Shipped
100141,04/01/2026,Coastal Retail Holdings,Charleston,SC,David Kim,Midwest,Small Box,$6.00,"1,400","$8,400.00",Net 60,Processing
100142,08/25/2025,Crescent Manufacturing Group,New Orleans,LA,James Peterson,Northeast,Small Box,$6.00,"1,900","$11,400.00",Due on Receipt,Delivered
100143,05/09/2026,Summit Manufacturing LLC,Pittsburgh,PA,Marcus Doyle,Southwest,Small Box,$6.00,"1,300","$7,800.00",Net 45,Shipped
100144,07/24/2025,Highland Retail Partners,Salt Lake City,UT,Angela Brooks,Southwest,Large Box,$12.00,"1,100","$13,200.00",Net 30,Delivered
100145,01/15/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Nicole Fenwick,Southwest,Small Box,$6.00,"1,750","$10,500.00",Net 45,Pending
100146,06/01/2026,Union Pacific Warehousing,Omaha,NE,James Peterson,West,Medium Box,$8.00,"1,950","$15,600.00",Due on Receipt,Shipped
100147,01/06/2026,Summit Manufacturing LLC,Pittsburgh,PA,James Peterson,Southeast,Medium Box,$8.00,"1,100","$8,800.00",Due on Receipt,Delivered
100148,05/27/2026,Ironwood Distribution Inc,Indianapolis,IN,Rachel Ortiz,Midwest,Large Box,$12.00,"2,000","$24,000.00",Net 30,Invoiced
100149,02/18/2026,Union Pacific Warehousing,Omaha,NE,Tom Sullivan,West,Large Box,$12.00,"1,050","$12,600.00",Net 60,Delivered
100150,09/03/2025,Metro Fulfillment Services,Newark,NJ,Tom Sullivan,Northeast,Small Box,$6.00,"1,200","$7,200.00",Net 45,Invoiced
100151,10/28/2025,Cascade Industrial Supply,Portland,OR,Priya Natarajan,West,Large Box,$12.00,"1,275","$15,300.00",Net 60,Shipped
100152,09/05/2025,Silverline Consumer Brands,Denver,CO,Priya Natarajan,Northeast,Small Box,$6.00,"1,875","$11,250.00",Net 30,Shipped
100153,10/30/2025,Heartland Shipping Co,Des Moines,IA,Karen Whitfield,Southeast,Medium Box,$8.00,"1,050","$8,400.00",Net 30,Delivered
100154,08/28/2025,Granite State Packaging,Manchester,NH,James Peterson,Southwest,Medium Box,$8.00,"1,525","$12,200.00",Net 45,Delivered
100155,10/22/2025,Highland Retail Partners,Salt Lake City,UT,Karen Whitfield,West,Medium Box,$8.00,"1,475","$11,800.00",Net 45,Shipped
100156,03/03/2026,Cornerstone Supply Co,Richmond,VA,Rachel Ortiz,Northeast,Medium Box,$8.00,"1,725","$13,800.00",Due on Receipt,Shipped
100157,08/11/2025,Cascade Industrial Supply,Portland,OR,Priya Natarajan,Northeast,Large Box,$12.00,"1,275","$15,300.00",Net 45,Invoiced
100158,06/30/2026,Cascade Industrial Supply,Portland,OR,Brian Castillo,West,Medium Box,$8.00,"1,475","$11,800.00",Net 45,Delivered
100159,06/25/2026,Coastal Retail Holdings,Charleston,SC,Nicole Fenwick,Southeast,Medium Box,$8.00,"1,450","$11,600.00",Net 60,Delivered
100160,02/18/2026,Redwood Retail Group,Sacramento,CA,Marcus Doyle,Midwest,Medium Box,$8.00,"1,325","$10,600.00",Net 45,Delivered
100161,09/17/2025,Timberline Wholesale Inc,Boise,ID,James Peterson,Northeast,Large Box,$12.00,"1,850","$22,200.00",Net 30,Delivered
100162,01/07/2026,Metro Fulfillment Services,Newark,NJ,Nicole Fenwick,Northeast,Small Box,$6.00,"1,975","$11,850.00",Net 45,Delivered
100163,09/01/2025,Redwood Retail Group,Sacramento,CA,Rachel Ortiz,Northeast,Medium Box,$8.00,"1,625","$13,000.00",Net 30,Shipped
100164,03/17/2026,Summit Manufacturing LLC,Pittsburgh,PA,James Peterson,Southeast,Large Box,$12.00,"1,350","$16,200.00",Net 60,Delivered
100165,11/20/2025,Heartland Shipping Co,Des Moines,IA,Rachel Ortiz,West,Small Box,$6.00,"1,625","$9,750.00",Net 45,Invoiced
100166,05/08/2026,Highland Retail Partners,Salt Lake City,UT,Angela Brooks,Northeast,Large Box,$12.00,"1,275","$15,300.00",Net 45,Delivered
